failure_number,role,fixture_id,variant_id,repeat_idx,status,failure_class,quality_score,zero_tolerance_failure_types,scenario_group,fixture_input,prompt,expected,failure_description,raw_output_path,parsed_output_path
1,atomic_card_extractor,memory_compiler_small_table,base,0,quality_fail,quality_failure,0.3000000000000001,,small_table_policy,"| Person | Preference |
| --- | --- |
| Sam | Bill Evans |
| Daniele | Knowledge graphs |","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: memory_compiler_small_table
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
| Person | Preference |
| --- | --- |
| Sam | Bill Evans |
| Daniele | Knowledge graphs |","{""decision"": ""commit_success"", ""memory_kinds"": [""table_note""], ""must_include"": [""Bill Evans"", ""Knowledge graphs""], ""source_memory_split"": true}","Expected card kinds include table_note; model emitted preference, preference. Lowest subscores: memory_card_quality=0.00, recall_quality=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__memory_compiler_small_table__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__memory_compiler_small_table__0.json
2,atomic_card_extractor,memory_compiler_small_table,context,0,quality_fail,quality_failure,0.3000000000000001,,small_table_policy,"For context, | Person | Preference |
| --- | --- |
| Sam | Bill Evans |
| Daniele | Knowledge graphs |","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: memory_compiler_small_table__context
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
For context, | Person | Preference |
| --- | --- |
| Sam | Bill Evans |
| Daniele | Knowledge graphs |","{""decision"": ""commit_success"", ""memory_kinds"": [""table_note""], ""must_include"": [""Bill Evans"", ""Knowledge graphs""], ""source_memory_split"": true}","Expected card kinds include table_note; model emitted preference, preference. Lowest subscores: memory_card_quality=0.00, recall_quality=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__memory_compiler_small_table__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__memory_compiler_small_table__context__0.json
3,atomic_card_extractor,memory_compiler_article_atomic,punctuation,0,quality_fail,quality_failure,0.3000000000000001,,long_source_split,"AI memory systems need durable source evidence Atomic memory cards should be small and traceable A semantic index can improve recall, but the application database must own lifecycle and conflict state","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: memory_compiler_article_atomic__punctuation
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
AI memory systems need durable source evidence Atomic memory cards should be small and traceable A semantic index can improve recall, but the application database must own lifecycle and conflict state","{""decision"": ""commit_success"", ""memory_kinds_any"": [""article_note"", ""source_summary""], ""must_include"": [""source evidence"", ""atomic"", ""lifecycle""], ""must_not_include"": [""one giant memory""], ""source_memory_split"": true}","Lowest subscores: memory_card_quality=0.00, recall_quality=0.33.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__memory_compiler_article_atomic__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__memory_compiler_article_atomic__punctuation__0.json
4,atomic_card_extractor,memory_compiler_article_atomic,context,0,quality_fail,quality_failure,0.3000000000000001,,long_source_split,"For context, AI memory systems need durable source evidence. Atomic memory cards should be small and traceable. A semantic index can improve recall, but the application database must own lifecycle and conflict state.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: memory_compiler_article_atomic__context
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
For context, AI memory systems need durable source evidence. Atomic memory cards should be small and traceable. A semantic index can improve recall, but the application database must own lifecycle and conflict state.","{""decision"": ""commit_success"", ""memory_kinds_any"": [""article_note"", ""source_summary""], ""must_include"": [""source evidence"", ""atomic"", ""lifecycle""], ""must_not_include"": [""one giant memory""], ""source_memory_split"": true}","Lowest subscores: memory_card_quality=0.00, recall_quality=0.33.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__memory_compiler_article_atomic__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__memory_compiler_article_atomic__context__0.json
5,atomic_card_extractor,memory_compiler_article_atomic,base,0,quality_fail,quality_failure,0.3000000000000001,,long_source_split,"AI memory systems need durable source evidence. Atomic memory cards should be small and traceable. A semantic index can improve recall, but the application database must own lifecycle and conflict state.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: memory_compiler_article_atomic
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
AI memory systems need durable source evidence. Atomic memory cards should be small and traceable. A semantic index can improve recall, but the application database must own lifecycle and conflict state.","{""decision"": ""commit_success"", ""memory_kinds_any"": [""article_note"", ""source_summary""], ""must_include"": [""source evidence"", ""atomic"", ""lifecycle""], ""must_not_include"": [""one giant memory""], ""source_memory_split"": true}","Lowest subscores: memory_card_quality=0.00, recall_quality=0.33.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__memory_compiler_article_atomic__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__memory_compiler_article_atomic__0.json
6,atomic_card_extractor,memory_compiler_small_table,punctuation,0,quality_fail,quality_failure,0.3000000000000001,,small_table_policy,"| Person | Preference |
| --- | --- |
| Sam | Bill Evans |
| Daniele | Knowledge graphs |","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: memory_compiler_small_table__punctuation
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
| Person | Preference |
| --- | --- |
| Sam | Bill Evans |
| Daniele | Knowledge graphs |","{""decision"": ""commit_success"", ""memory_kinds"": [""table_note""], ""must_include"": [""Bill Evans"", ""Knowledge graphs""], ""source_memory_split"": true}","Expected card kinds include table_note; model emitted preference, preference. Lowest subscores: memory_card_quality=0.00, recall_quality=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__memory_compiler_small_table__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__memory_compiler_small_table__punctuation__0.json
7,atomic_card_extractor,research_question_language_intelligence_001,context,0,quality_fail,quality_failure,0.3000000000000001,,research_question_language,"For context, I wonder what the relationship is between human intelligence and language. Need to research this.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: research_question_language_intelligence_001__context
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
For context, I wonder what the relationship is between human intelligence and language. Need to research this.","{""decision"": ""commit_success"", ""memory_kinds_any"": [""research_question"", ""open_question""], ""must_include"": [""human intelligence"", ""language""]}",Lowest subscores: memory_card_quality=0.00.,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__research_question_language_intelligence_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__research_question_language_intelligence_001__context__0.json
8,atomic_card_extractor,chat_conclusion_brain_architecture_001,base,0,quality_fail,quality_failure,0.3000000000000001,,chat_conclusion_brain,"Conclusion from our chat: Brain should treat Cognee as a rebuildable semantic projection, while Brain DB remains the source of truth.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: chat_conclusion_brain_architecture_001
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
Conclusion from our chat: Brain should treat Cognee as a rebuildable semantic projection, while Brain DB remains the source of truth.","{""decision"": ""commit_success"", ""memory_kinds_any"": [""chat_conclusion"", ""decision"", ""project_state""], ""must_include"": [""Brain DB"", ""source of truth"", ""Cognee"", ""rebuildable""]}","Lowest subscores: memory_card_quality=0.00, recall_quality=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__chat_conclusion_brain_architecture_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__chat_conclusion_brain_architecture_001__0.json
9,atomic_card_extractor,chat_conclusion_brain_architecture_001,context,0,quality_fail,quality_failure,0.3000000000000001,,chat_conclusion_brain,"For context, Conclusion from our chat: Brain should treat Cognee as a rebuildable semantic projection, while Brain DB remains the source of truth.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: chat_conclusion_brain_architecture_001__context
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
For context, Conclusion from our chat: Brain should treat Cognee as a rebuildable semantic projection, while Brain DB remains the source of truth.","{""decision"": ""commit_success"", ""memory_kinds_any"": [""chat_conclusion"", ""decision"", ""project_state""], ""must_include"": [""Brain DB"", ""source of truth"", ""Cognee"", ""rebuildable""]}","Lowest subscores: memory_card_quality=0.00, recall_quality=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__chat_conclusion_brain_architecture_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__chat_conclusion_brain_architecture_001__context__0.json
10,atomic_card_extractor,chat_conclusion_brain_architecture_001,punctuation,0,quality_fail,quality_failure,0.3000000000000001,,chat_conclusion_brain,"Conclusion from our chat - Brain should treat Cognee as a rebuildable semantic projection, while Brain DB remains the source of truth","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: atomic_card_extractor
Fixture ID: chat_conclusion_brain_architecture_001__punctuation
Role contract:
- Extract atomic memory cards only from facts explicitly supported by the input; omit or lower confidence on ambiguous references.
- When extraction succeeds, use decision commit_success or commit_with_warning; do not emit backend conflict-policy decisions.
Input:
Conclusion from our chat - Brain should treat Cognee as a rebuildable semantic projection, while Brain DB remains the source of truth","{""decision"": ""commit_success"", ""memory_kinds_any"": [""chat_conclusion"", ""decision"", ""project_state""], ""must_include"": [""Brain DB"", ""source of truth"", ""Cognee"", ""rebuildable""]}","Lowest subscores: memory_card_quality=0.00, recall_quality=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__chat_conclusion_brain_architecture_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__chat_conclusion_brain_architecture_001__punctuation__0.json
