role,fixture_id,scenario_group,description,failure_count,failure_classes,variants,zero_tolerance_reasons,failure_messages
atomic_card_extractor,article_url_ai_memory_001,article_source_grounding,Remember this article - https -//examplecom/ai-memory why - useful for thinking about knowledge graph memory design Mock fetched article - Graph memory helps agents preserve relationships; provenance and update semantics are needed,3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),source_invention (3),-
atomic_card_extractor,article_url_fetch_failure_001,article_fetch_failure,Remember this article - https -//examplecom/missing why - useful for memory architecture Mock fetch result - 404 network error,3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),source_invention (3),-
atomic_card_extractor,chat_conclusion_brain_architecture_001,chat_conclusion_brain,"Conclusion from our chat - Brain should treat Cognee as a rebuildable semantic projection, while Brain DB remains the source of truth",3,quality_failure (3),base (1); context (1); punctuation (1),-,-
atomic_card_extractor,conversation_transcript_sam_001,transcript_source_split,"Daniele - Still at Goldman? Sam - No, I left Goldman last month and joined Point72 Daniele - Still listening to Bill Evans? Sam - Yes, but lately more early Coltrane Daniele - We should catch up about AI infra Sam - Definitely, send me that article",3,quality_failure (3),base (1); context (1); punctuation (1),-,-
atomic_card_extractor,email_source_meeting_followup_001,email_source,"From - sam@examplecom Subject - Follow up Great seeing you Yes, I joined Point72 last month Please send the AI infra article",3,quality_failure (3),context (1); base (1); punctuation (1),-,-
atomic_card_extractor,long_markdown_chat_summary_001,long_markdown_source_split,# Chat Summary - Brain Architecture Brain DB should be the source of truth Cognee should be a rebuildable semantic projection Slack should be a strict memory intake agent Open questions - Should Telegram be added later? Which model is cheapest while saturating performance?,3,quality_failure (3),context (1); base (1); punctuation (1),-,-
atomic_card_extractor,memory_compiler_article_atomic,long_source_split,"AI memory systems need durable source evidence Atomic memory cards should be small and traceable A semantic index can improve recall, but the application database must own lifecycle and conflict state",3,quality_failure (3),punctuation (1); context (1); base (1),-,-
atomic_card_extractor,memory_compiler_small_table,small_table_policy,| Person | Preference | | --- | --- | | Sam | Bill Evans | | Daniele | Knowledge graphs |,3,quality_failure (3),base (1); context (1); punctuation (1),-,-
atomic_card_extractor,numeric_table_exactness_001,numeric_table_exactness,| Run | Reward | Sharpe | Notes | |---|--- -|--- -|---| | PPO-001 | 012 | 045 | baseline | | PPO-002 | 018 | 051 | entropy tuned |,3,zero_tolerance_failure (3),punctuation (1); base (1); context (1),numeric_values_altered (3),-
atomic_card_extractor,research_question_language_intelligence_001,research_question_language,I wonder what the relationship is between human intelligence and language Need to research this,1,quality_failure (1),context (1),-,-
atomic_card_extractor,small_table_preferences_001,small_table_policy,| Person | Firm | Preference | Source | |---|---|---|---| | Sam | Goldman | Likes Bill Evans | Dinner 2026-05-05 | | Anna | JPM | Likes Barolo | Lunch 2026-05-01 |,3,quality_failure (3),base (1); context (1); punctuation (1),-,-
conflict_candidate_detector,conflict_sara_niece_001,high_confidence_family_conflict,Existing high-confidence memory - Sara is Daniele's daughter and Nur's twin New - Sara is my niece,2,quality_failure (2),base (1); context (1),-,-
conflict_explainer,additive_sam_preferences_001,additive_preference,Existing memory - Sam from Goldman likes Bill Evans New - Sam from Goldman also likes Sonny Rollins,3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),silent_high_confidence_overwrite (3),-
conflict_explainer,concurrent_conflict_writes_001,concurrent_conflict_writes,Concurrent writes - Sam works at Goldman Sam joined Point72,3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),silent_high_confidence_overwrite (3),-
conflict_explainer,conflict_correction_like,correction_like,"Existing current fact - Sam from Goldman likes Bill Evans Correction - Sam from Goldman actually likes early Coltrane, not Bill Evans",3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),silent_high_confidence_overwrite (3),-
conflict_explainer,conflict_employment_transition,employment_transition,Existing current fact - Sam works at Goldman New fact - Sam left Goldman and joined Point72,3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),silent_high_confidence_overwrite (3),-
conflict_explainer,conflict_sara_niece_001,high_confidence_family_conflict,Existing high-confidence memory - Sara is Daniele's daughter and Nur's twin New - Sara is my niece,3,zero_tolerance_failure (3),context (1); punctuation (1); base (1),silent_high_confidence_overwrite (3),-
conflict_explainer,contradiction_sam_children_001,true_contradiction,Existing memory - Sam from Goldman has two children New - Sam from Goldman has no children,3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),silent_high_confidence_overwrite (3),-
conflict_explainer,correction_sam_music_001,correction_like,"Existing memory - Sam from Goldman likes Bill Evans Correction - Sam from Goldman actually likes early Coltrane, not Bill Evans",3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),silent_high_confidence_overwrite (3),-
conflict_explainer,supersession_sam_job_001,employment_transition,Existing memory - Sam works at Goldman New - Sam left Goldman and joined Point72,3,zero_tolerance_failure (3),base (1); punctuation (1); context (1),silent_high_confidence_overwrite (3),-
conflict_explainer,temporal_status_transition_001,temporal_status_transition,"Existing project state - The Brain Slack agent is planned, status=open New - The Brain Slack agent MVP is now implemented",3,quality_failure (3),base (1); punctuation (1); context (1),-,-
debug_explainer,debug_sql_disabled_001,debug_sql_disabled,/brain admin sql SELECT * FROM memory_cards with BRAIN_DEBUG_SQL_ENABLED=false,2,quality_failure (2),context (1); punctuation (1),-,-
debug_explainer,normal_user_admin_attempt_001,admin_permission_gate,Normal user command - /brain admin sql DELETE FROM memory_cards;,3,quality_failure (3),context (1); base (1); punctuation (1),-,-
durability_filter,ambiguous_sam_001,ambiguous_sam,Existing entities - Sam from Goldman; Sam from Point72 New message - Sam mentioned that he likes Bill Evans,1,quality_failure (1),base (1),-,-
durability_filter,idempotent_retry_same_message_001,idempotent_retry,Same input delivered three times - Sam from Goldman mentioned that he likes Bill Evans,1,quality_failure (1),base (1),-,-
durability_filter,mixed_language_open_question_001,mixed_language_open_question,Need to research rapporto tra linguaggio e intelligence umana,3,quality_failure (3),base (1); context (1); punctuation (1),-,-
durability_filter,open_question_knowledge_graphs_001,open_question_knowledge_graphs,I want to learn more about knowledge graphs,1,quality_failure (1),context (1),-,-
durability_filter,slack_conflict_buttons_001,slack_conflict_buttons,Existing - Sam works at Goldman /brain remember Sam left Goldman and joined Point72,3,quality_failure (3),base (1); context (1); punctuation (1),-,-
durability_filter,slack_retry_event_001,slack_retry_event,Same Slack event ID delivered twice for - Sam from Goldman likes Bill Evans,1,quality_failure (1),base (1),-,-
durability_filter,validator_blocks_high_confidence_overwrite_001,validator_blocks_overwrite,Existing - Sara is Daniele's daughter LLM proposes - Sara is Daniele's niece,3,quality_failure (3),context (1); base (1); punctuation (1),-,-
durability_filter,validator_blocks_transcript_as_memory_001,validator_blocks_transcript,LLM proposal - one conversation_summary card containing an entire 8000 word transcript,3,quality_failure (3),base (1); punctuation (1); context (1),-,-
entity_candidate_ranker,ambiguous_place_001,ambiguous_place,Existing - Brutto restaurant in London; Brutto article alias New note - Brutto was better than expected,3,zero_tolerance_failure (3),base (1); context (1); punctuation (1),entity_overmerge (3),-
