role,model,semantic_score,quality_pass_rate,zero_tolerance_count,schema_fail_count,eligibility_state,rejection_reasons,top_5_failed_fixture_ids,top_5_zero_tolerance_reasons
atomic_card_extractor,openai:gpt-5.5,0.5281481481481483,0.3111111111111111,9,0,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold;memory_card_quality_below_threshold,memory_compiler_small_table (3); memory_compiler_article_atomic (3); chat_conclusion_brain_architecture_001 (3); article_url_ai_memory_001 (3); article_url_fetch_failure_001 (3),source_invention (6); numeric_values_altered (3)
conflict_candidate_detector,openai:gpt-5.5,0.9515151515151515,0.9393939393939394,0,0,insufficient_sample,semantic_evaluable_below_minimum;conflict_safety_below_threshold,conflict_sara_niece_001 (2),-
conflict_explainer,openai:gpt-5.5,0.6727272727272727,0.18181818181818182,24,0,failed_safety,zero_tolerance_failures_present;semantic_evaluable_below_minimum;semantic_score_below_threshold,conflict_employment_transition (3); conflict_correction_like (3); additive_sam_preferences_001 (3); supersession_sam_job_001 (3); correction_sam_music_001 (3),silent_high_confidence_overwrite (24)
debug_explainer,openai:gpt-5.5,0.9166666666666666,0.7916666666666666,0,0,insufficient_sample,semantic_evaluable_below_minimum,normal_user_admin_attempt_001 (3); debug_sql_disabled_001 (2),-
durability_filter,openai:gpt-5.5,0.8222222222222222,0.8222222222222222,0,0,failed_quality,semantic_score_below_threshold;durability_decision_below_threshold,mixed_language_open_question_001 (3); slack_conflict_buttons_001 (3); validator_blocks_transcript_as_memory_001 (3); validator_blocks_high_confidence_overwrite_001 (3); open_question_knowledge_graphs_001 (1),-
entity_candidate_ranker,openai:gpt-5.5,0.2,0.0,6,0,failed_safety,zero_tolerance_failures_present;records_total_below_minimum;semantic_evaluable_below_minimum;semantic_score_below_threshold;entity_safety_below_threshold,entity_ambiguous_sam_two_people (3); entity_alias_sam_goldman (3); ambiguous_place_001 (3),entity_overmerge (6)
entity_mention_extractor,openai:gpt-5.5,0.9337719298245615,0.5175438596491229,0,0,eligible,,ambiguous_sam_001 (3); ambiguous_time_reference_001 (3); typos_shorthand_person_interaction_001 (3); slack_retry_event_001 (3); slack_ambiguous_entity_buttons_001 (3),-
eval_judge,openai:gpt-5.5,0.8875000000000001,0.5833333333333334,0,0,insufficient_sample,semantic_evaluable_below_minimum,groundedness_metadata_claims_001 (3); groundedness_absence_claims_001 (2),-
groundedness_checker,openai:gpt-5.5,0.9375,0.8611111111111112,0,0,eligible,,recall_profile_sam_001 (3); recall_brain_cognee_conclusions_relevance_001 (1); recall_absence_claims_001 (1),-
intent_router,openai:gpt-5.5,0.8771929824561403,0.8771929824561403,0,0,eligible,,open_question_knowledge_graphs_001 (3); mixed_language_open_question_001 (3); research_question_language_intelligence_001 (3); large_table_500_rows_001 (3); slack_retry_event_001 (2),-
memory_kind_classifier,openai:gpt-5.5,0.9833333333333333,0.9428571428571428,0,0,eligible,,conversation_transcript_sam_001 (3); email_source_meeting_followup_001 (3),-
open_loop_detector,openai:gpt-5.5,0.819047619047619,0.819047619047619,0,0,failed_quality,semantic_score_below_threshold,slack_prompt_injection_001 (3); typos_shorthand_person_interaction_001 (3); slack_conflict_buttons_001 (3); slack_no_durable_value_repair_001 (3); small_table_preferences_001 (3),-
recall_planner,openai:gpt-5.5,0.9761904761904762,0.9761904761904762,0,0,eligible,,router_recall_question (1),-
recall_synthesizer,openai:gpt-5.5,0.9452380952380952,0.8611111111111112,0,0,insufficient_sample,semantic_evaluable_below_minimum,recall_profile_sam_001 (3); recall_brain_cognee_conclusions_relevance_001 (2),-
relationship_extractor,openai:gpt-5.5,0.9933333333333333,0.9809523809523809,0,0,eligible,,person_interaction_sam_bill_evans_001 (2),-
repair_option_generator,openai:gpt-5.5,1.0,1.0,0,0,eligible,,-,-
source_classifier,openai:gpt-5.5,0.8539682539682539,0.6761904761904762,17,0,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold;source_memory_split_below_threshold,slack_prompt_injection_001 (3); slack_retry_event_001 (3); slack_no_durable_value_repair_001 (3); memory_compiler_article_atomic (3); conversation_transcript_sam_001 (3),article_url_not_classified_as_source (7); long_source_classified_as_memory (5); table_not_classified_as_table (5)
source_takeaway_extractor,openai:gpt-5.5,0.7096296296296296,0.24444444444444444,6,0,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold,memory_compiler_small_table (3); memory_compiler_article_atomic (3); chat_conclusion_brain_architecture_001 (3); article_url_ai_memory_001 (3); article_url_fetch_failure_001 (3),source_invention (6)
table_policy_handler,openai:gpt-5.5,0.7577777777777778,0.2222222222222222,8,0,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold,memory_compiler_article_atomic (3); memory_compiler_small_table (3); research_question_language_intelligence_001 (3); chat_conclusion_brain_architecture_001 (3); article_url_ai_memory_001 (3),small_table_must_not_drop_values (6); numeric_values_altered (2)
