role,model,fixture_id,variant_id,repeat_idx,zero_tolerance_type,expected,model_output,raw_output_path,parsed_output_path
atomic_card_extractor,openai:gpt-5.5,article_url_ai_memory_001,base,0,source_invention,"{""decision_any"": [""commit_success"", ""commit_with_warning""], ""memory_kinds_any"": [""article_note"", ""key_takeaway"", ""source_summary""], ""must_include"": [""graph memory"", ""relationships"", ""provenance""], ""source_memory_split"": true}","{""answer"": ""Remembered the article and its stated relevance to knowledge graph memory design."", ""citations"": [""https://example.com/ai-memory""], ""conflict_classification"": ""none"", ""decision"": ""commit_success"", ""entity_resolution"": {""action"": ""create_or_update"", ""entity_id"": null, ""reason"": ""No existing entity context was provided; the URL and article claims are explicit in the input.""}, ""intent"": ""remember_article"", ""memory_cards"": [{""confidence"": ""high"", ""entities"": [{""name"": ""https://example.com/ai-memory"", ""role"": ""source"", ""type"": ""url""}, {""name"": ""knowledge graph memory design"", ""role"": ""user_interest"", ""type"": ""concept""}], ""kind"": ""article_reference"", ""relationships"": [{""object"": ""thinking about knowledge graph memory design"", ""predicate"": ""is_useful_for"", ""subject"": ""https://example.com/ai-memory""}], ""statement"": ""The user wants to remember the article at https://example.com/ai-memory because it is useful for thinking about knowledge graph memory design.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""graph memory"", ""role"": ""subject"", ""type"": ""concept""}, {""name"": ""agents"", ""role"": ""beneficiary"", ""type"": ""concept""}, {""name"": ""relationships"", ""role"": ""object"", ""type"": ""concept""}], ""kind"": ""article_claim"", ""relationships"": [{""object"": ""relationships"", ""predicate"": ""helps_preserve"", ""subject"": ""graph memory""}, {""object"": ""graph memory"", ""predicate"": ""use"", ""subject"": ""agents""}], ""statement"": ""The article says graph memory helps agents preserve relationships.""}, {""confidence"": ""medium"", ""entities"": [{""name"": ""provenance"", ""role"": ""requirement"", ""type"": ""concept""}, {""name"": ""update semantics"", ""role"": ""requirement"", ""type"": ""concept""}, {""name"": ""graph memory"", ""role"": ""context"", ""type"": ""concept""}, {""name"": ""agents"", ""role"": ""context"", ""type"": ""concept""}], ""kind"": ""article_claim"", ""relationships"": [{""object"": ""provenance"", ""predicate"": ""needs"", ""subject"": ""graph memory""}, {""object"": ""update semantics"", ""predicate"": ""needs"", ""subject"": ""graph memory""}], ""statement"": ""The article says provenance and update semantics are needed for graph memory or agent memory systems.""}], ""receipt"": {""details"": [""Committed article URL with user's reason for remembering it."", ""Committed explicit article claims from the provided mock fetched content.""], ""success"": true}, ""repair_options"": []}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__article_url_ai_memory_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__article_url_ai_memory_001__0.json
atomic_card_extractor,openai:gpt-5.5,article_url_ai_memory_001,context,0,source_invention,"{""decision_any"": [""commit_success"", ""commit_with_warning""], ""memory_kinds_any"": [""article_note"", ""key_takeaway"", ""source_summary""], ""must_include"": [""graph memory"", ""relationships"", ""provenance""], ""source_memory_split"": true}","{""answer"": ""Committed atomic memory cards for the provided article URL, its stated relevance, and the mock article claims."", ""citations"": [""https://example.com/ai-memory""], ""conflict_classification"": ""none"", ""decision"": ""commit_success"", ""entity_resolution"": {""action"": ""create_or_attach_source"", ""entity_id"": null, ""reason"": ""The input provides a URL and mock article content, but no existing entity identifier.""}, ""intent"": ""remember_article_context"", ""memory_cards"": [{""confidence"": ""high"", ""entities"": [{""name"": ""https://example.com/ai-memory"", ""role"": ""source"", ""type"": ""url""}, {""name"": ""knowledge graph memory design"", ""role"": ""topic"", ""type"": ""concept""}], ""kind"": ""source_reference"", ""relationships"": [{""object"": ""thinking about knowledge graph memory design"", ""predicate"": ""is_useful_for"", ""subject"": ""https://example.com/ai-memory""}], ""statement"": ""The article at https://example.com/ai-memory was provided as useful for thinking about knowledge graph memory design.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""graph memory"", ""role"": ""subject"", ""type"": ""concept""}, {""name"": ""agents"", ""role"": ""beneficiary"", ""type"": ""concept""}, {""name"": ""relationships"", ""role"": ""object"", ""type"": ""concept""}], ""kind"": ""article_claim"", ""relationships"": [{""object"": ""relationships"", ""predicate"": ""helps_agents_preserve"", ""subject"": ""graph memory""}], ""statement"": ""Graph memory helps agents preserve relationships.""}, {""confidence"": ""medium"", ""entities"": [{""name"": ""provenance"", ""role"": ""requirement"", ""type"": ""concept""}, {""name"": ""update semantics"", ""role"": ""requirement"", ""type"": ""concept""}, {""name"": ""graph memory"", ""role"": ""context"", ""type"": ""concept""}, {""name"": ""knowledge graph memory design"", ""role"": ""context"", ""type"": ""concept""}], ""kind"": ""article_claim"", ""relationships"": [{""object"": ""provenance"", ""predicate"": ""needs"", ""subject"": ""graph memory""}, {""object"": ""update semantics"", ""predicate"": ""needs"", ""subject"": ""graph memory""}], ""statement"": ""Provenance and update semantics are needed for graph memory or knowledge graph memory design.""}], ""receipt"": {""details"": [""Stored article URL as a source reference."", ""Stored the stated reason: useful for thinking about knowledge graph memory design."", ""Stored explicitly provided article claims about graph memory, provenance, and update semantics.""], ""success"": true}, ""repair_options"": []}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__article_url_ai_memory_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__article_url_ai_memory_001__context__0.json
atomic_card_extractor,openai:gpt-5.5,article_url_fetch_failure_001,base,0,source_invention,"{""decision_any"": [""propose_repair"", ""commit_with_warning""], ""must_include_any"": [""fetch_error"", ""paste article"", ""URL-only""], ""must_not_include"": [""The article argues""], ""repair_terms"": [""paste"", ""URL-only"", ""cancel""]}","{""answer"": ""Saved the user-provided article URL and stated reason, but the article content could not be fetched due to a 404 network error."", ""citations"": [""user_input"", ""mock_fetch_result""], ""conflict_classification"": ""none"", ""decision"": ""commit_with_warning"", ""entity_resolution"": {""action"": ""none"", ""entity_id"": null, ""reason"": ""The URL could not be fetched, so no article metadata or content-derived entity can be resolved.""}, ""intent"": ""remember_article"", ""memory_cards"": [{""confidence"": ""high"", ""entities"": [{""name"": ""https://example.com/missing"", ""role"": ""article_reference"", ""type"": ""url""}, {""name"": ""memory architecture"", ""role"": ""reason"", ""type"": ""topic""}], ""kind"": ""reference"", ""relationships"": [{""object"": ""memory architecture"", ""predicate"": ""has_user_stated_relevance_to"", ""subject"": ""https://example.com/missing""}], ""statement"": ""The user wants to remember the article at https://example.com/missing because it may be useful for memory architecture.""}], ""receipt"": {""details"": [""Committed only the URL and the user-stated reason."", ""Did not extract article claims because the fetch failed with a 404 network error.""], ""success"": true}, ""repair_options"": [""Retry fetching the URL later."", ""Ask the user to provide the article title or text."", ""Ask the user for an alternate URL.""]}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__article_url_fetch_failure_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__article_url_fetch_failure_001__0.json
atomic_card_extractor,openai:gpt-5.5,article_url_fetch_failure_001,context,0,source_invention,"{""decision_any"": [""propose_repair"", ""commit_with_warning""], ""must_include_any"": [""fetch_error"", ""paste article"", ""URL-only""], ""must_not_include"": [""The article argues""], ""repair_terms"": [""paste"", ""URL-only"", ""cancel""]}","{""answer"": ""Stored the article URL reference and the stated reason, but not the article content because the fetch failed with a 404 network error."", ""citations"": [""https://example.com/missing""], ""conflict_classification"": ""none"", ""decision"": ""commit_with_warning"", ""entity_resolution"": {""action"": ""none"", ""entity_id"": null, ""reason"": ""The article content could not be fetched due to a 404 network error, so only the explicit URL reference and user-provided reason can be stored.""}, ""intent"": ""remember_article_reference"", ""memory_cards"": [{""confidence"": ""high"", ""entities"": [{""name"": ""https://example.com/missing"", ""role"": ""referenced_article"", ""type"": ""url""}, {""name"": ""memory architecture"", ""role"": ""reason"", ""type"": ""topic""}], ""kind"": ""source_reference"", ""relationships"": [{""object"": ""memory architecture"", ""predicate"": ""was_requested_to_be_remembered_for"", ""subject"": ""https://example.com/missing""}], ""statement"": ""The user asked to remember the article at https://example.com/missing because it is useful for memory architecture.""}], ""receipt"": {""details"": [""Committed only the explicitly provided URL and reason."", ""Did not infer or store any article content because the mock fetch result was a 404 network error.""], ""success"": true}, ""repair_options"": [""Retry fetching the URL later."", ""Provide the article text manually."", ""Provide a different accessible URL for the article.""]}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__article_url_fetch_failure_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__article_url_fetch_failure_001__context__0.json
atomic_card_extractor,openai:gpt-5.5,article_url_ai_memory_001,punctuation,0,source_invention,"{""decision_any"": [""commit_success"", ""commit_with_warning""], ""memory_kinds_any"": [""article_note"", ""key_takeaway"", ""source_summary""], ""must_include"": [""graph memory"", ""relationships"", ""provenance""], ""source_memory_split"": true}","{""answer"": ""Committed article memory with a warning because the URL-like reference is malformed or ambiguous."", ""citations"": [""Input: Remember this article - https -//examplecom/ai-memory why - useful for thinking about knowledge graph memory design"", ""Mock fetched article: Graph memory helps agents preserve relationships; provenance and update semantics are needed""], ""conflict_classification"": ""none"", ""decision"": ""commit_with_warning"", ""entity_resolution"": {""action"": ""create_or_attach_source_reference"", ""entity_id"": null, ""reason"": ""The input provides an article-like reference, but the URL punctuation is malformed or ambiguous; preserve the exact reference rather than normalizing it to an unprovided URL.""}, ""intent"": ""remember_article"", ""memory_cards"": [{""confidence"": ""medium"", ""entities"": [{""name"": ""https -//examplecom/ai-memory"", ""role"": ""source"", ""type"": ""url_reference""}, {""name"": ""knowledge graph memory design"", ""role"": ""use_case"", ""type"": ""concept""}], ""kind"": ""article_reference"", ""relationships"": [{""object"": ""knowledge graph memory design"", ""predicate"": ""is useful for thinking about"", ""subject"": ""https -//examplecom/ai-memory""}], ""statement"": ""The user wants to remember an article at the ambiguous URL-like reference \""https -//examplecom/ai-memory\"" because it is useful for thinking about knowledge graph memory design.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""graph memory"", ""role"": ""subject"", ""type"": ""concept""}, {""name"": ""agents"", ""role"": ""beneficiary"", ""type"": ""concept""}, {""name"": ""relationships"", ""role"": ""object"", ""type"": ""concept""}], ""kind"": ""article_claim"", ""relationships"": [{""object"": ""relationships"", ""predicate"": ""helps preserve"", ""subject"": ""graph memory""}, {""object"": ""agents"", ""predicate"": ""helps"", ""subject"": ""graph memory""}], ""statement"": ""The referenced article says graph memory helps agents preserve relationships.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""graph memory"", ""role"": ""context"", ""type"": ""concept""}, {""name"": ""provenance"", ""role"": ""requirement"", ""type"": ""concept""}, {""name"": ""update semantics"", ""role"": ""requirement"", ""type"": ""concept""}], ""kind"": ""article_claim"", ""relationships"": [{""object"": ""provenance"", ""predicate"": ""needs"", ""subject"": ""graph memory""}, {""object"": ""update semantics"", ""predicate"": ""needs"", ""subject"": ""graph memory""}], ""statement"": ""The referenced article says provenance and update semantics are needed for graph memory.""}], ""receipt"": {""details"": [""Stored the article reference exactly as provided."", ""Stored explicitly supported article claims only."", ""Marked the URL reference as ambiguous due to punctuation.""], ""success"": true}, ""repair_options"": [""Confirm the exact article URL if durable retrieval or deduplication is needed.""]}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__article_url_ai_memory_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__article_url_ai_memory_001__punctuation__0.json
atomic_card_extractor,openai:gpt-5.5,article_url_fetch_failure_001,punctuation,0,source_invention,"{""decision_any"": [""propose_repair"", ""commit_with_warning""], ""must_include_any"": [""fetch_error"", ""paste article"", ""URL-only""], ""must_not_include"": [""The article argues""], ""repair_terms"": [""paste"", ""URL-only"", ""cancel""]}","{""answer"": ""I saved the user-provided article reference and stated reason, but could not verify or extract article content because fetching it returned a 404 network error."", ""citations"": [""User input: \""Remember this article - https -//examplecom/missing why - useful for memory architecture\"""", ""Mock fetch result: \""404 network error\""""], ""conflict_classification"": ""none"", ""decision"": ""commit_with_warning"", ""entity_resolution"": {""action"": ""create_new"", ""entity_id"": null, ""reason"": ""The input contains a URL-like article reference, but the fetch result was a 404 network error, so no article content or canonical entity could be resolved.""}, ""intent"": ""remember_article"", ""memory_cards"": [{""confidence"": ""medium"", ""entities"": [{""name"": ""https -//examplecom/missing"", ""role"": ""target"", ""type"": ""url_like_reference""}, {""name"": ""memory architecture"", ""role"": ""reason"", ""type"": ""topic""}], ""kind"": ""reference"", ""relationships"": [{""object"": ""memory architecture"", ""predicate"": ""has_user_stated_relevance"", ""subject"": ""https -//examplecom/missing""}], ""statement"": ""The user asked to remember an article at the provided malformed URL-like string \""https -//examplecom/missing\"" because it is useful for memory architecture.""}], ""receipt"": {""details"": [""Committed only the explicit user-provided reference and reason."", ""Did not extract claims from the article because the fetch failed with a 404 network error.""], ""success"": true}, ""repair_options"": [""Provide a corrected URL for the article."", ""Paste the article title or content to remember specific details.""]}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__article_url_fetch_failure_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__article_url_fetch_failure_001__punctuation__0.json
atomic_card_extractor,openai:gpt-5.5,numeric_table_exactness_001,punctuation,0,numeric_values_altered,"{""decision_any"": [""commit_success"", ""commit_with_warning""], ""must_include"": [""0.12"", ""0.45"", ""0.18"", ""0.51""], ""must_not_include"": [""average"", ""total"", ""0.5""]}","{""answer"": ""Extracted two atomic memory cards from the table, preserving the numeric strings exactly as written."", ""citations"": [""| PPO-001 | 012 | 045 | baseline |"", ""| PPO-002 | 018 | 051 | entropy tuned |""], ""conflict_classification"": ""none"", ""decision"": ""commit_success"", ""entity_resolution"": {""action"": ""create_or_update"", ""entity_id"": null, ""reason"": ""The input explicitly provides two run identifiers and their associated table values; no existing entity IDs are provided.""}, ""intent"": ""extract_atomic_memory_cards"", ""memory_cards"": [{""confidence"": ""high"", ""entities"": [{""name"": ""PPO-001"", ""role"": ""subject"", ""type"": ""run""}], ""kind"": ""experiment_metric"", ""relationships"": [{""object"": ""012"", ""predicate"": ""has_reward"", ""subject"": ""PPO-001""}, {""object"": ""045"", ""predicate"": ""has_sharpe"", ""subject"": ""PPO-001""}, {""object"": ""baseline"", ""predicate"": ""has_notes"", ""subject"": ""PPO-001""}], ""statement"": ""Run PPO-001 has Reward 012, Sharpe 045, and notes \""baseline\"".""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-002"", ""role"": ""subject"", ""type"": ""run""}], ""kind"": ""experiment_metric"", ""relationships"": [{""object"": ""018"", ""predicate"": ""has_reward"", ""subject"": ""PPO-002""}, {""object"": ""051"", ""predicate"": ""has_sharpe"", ""subject"": ""PPO-002""}, {""object"": ""entropy tuned"", ""predicate"": ""has_notes"", ""subject"": ""PPO-002""}], ""statement"": ""Run PPO-002 has Reward 018, Sharpe 051, and notes \""entropy tuned\"".""}], ""receipt"": {""details"": [""Committed PPO-001 with Reward 012, Sharpe 045, notes baseline."", ""Committed PPO-002 with Reward 018, Sharpe 051, notes entropy tuned.""], ""success"": true}, ""repair_options"": []}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__numeric_table_exactness_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__numeric_table_exactness_001__punctuation__0.json
atomic_card_extractor,openai:gpt-5.5,numeric_table_exactness_001,base,0,numeric_values_altered,"{""decision_any"": [""commit_success"", ""commit_with_warning""], ""must_include"": [""0.12"", ""0.45"", ""0.18"", ""0.51""], ""must_not_include"": [""average"", ""total"", ""0.5""]}","{""answer"": ""Extracted six atomic memory cards from the table."", ""citations"": [""| PPO-001 | 0.12 | 0.45 | baseline |"", ""| PPO-002 | 0.18 | 0.51 | entropy tuned |""], ""conflict_classification"": ""none"", ""decision"": ""commit_success"", ""entity_resolution"": {""action"": ""create_or_update"", ""entity_id"": null, ""reason"": ""The table explicitly identifies two run entities with associated numeric metrics and notes; no prior entity ID is provided.""}, ""intent"": ""extract_atomic_memory_cards"", ""memory_cards"": [{""confidence"": ""high"", ""entities"": [{""name"": ""PPO-001"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""Reward"", ""role"": ""metric"", ""type"": ""metric""}], ""kind"": ""experiment_metric"", ""relationships"": [{""object"": ""0.12"", ""predicate"": ""had_reward"", ""subject"": ""PPO-001""}], ""statement"": ""Run PPO-001 had a reward of 0.12.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-001"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""Sharpe"", ""role"": ""metric"", ""type"": ""metric""}], ""kind"": ""experiment_metric"", ""relationships"": [{""object"": ""0.45"", ""predicate"": ""had_sharpe"", ""subject"": ""PPO-001""}], ""statement"": ""Run PPO-001 had a Sharpe of 0.45.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-001"", ""role"": ""subject"", ""type"": ""run""}], ""kind"": ""experiment_note"", ""relationships"": [{""object"": ""baseline"", ""predicate"": ""had_note"", ""subject"": ""PPO-001""}], ""statement"": ""Run PPO-001 was noted as baseline.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-002"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""Reward"", ""role"": ""metric"", ""type"": ""metric""}], ""kind"": ""experiment_metric"", ""relationships"": [{""object"": ""0.18"", ""predicate"": ""had_reward"", ""subject"": ""PPO-002""}], ""statement"": ""Run PPO-002 had a reward of 0.18.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-002"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""Sharpe"", ""role"": ""metric"", ""type"": ""metric""}], ""kind"": ""experiment_metric"", ""relationships"": [{""object"": ""0.51"", ""predicate"": ""had_sharpe"", ""subject"": ""PPO-002""}], ""statement"": ""Run PPO-002 had a Sharpe of 0.51.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-002"", ""role"": ""subject"", ""type"": ""run""}], ""kind"": ""experiment_note"", ""relationships"": [{""object"": ""entropy tuned"", ""predicate"": ""had_note"", ""subject"": ""PPO-002""}], ""statement"": ""Run PPO-002 was noted as entropy tuned.""}], ""receipt"": {""details"": [""Committed exact reward, Sharpe, and note values for PPO-001."", ""Committed exact reward, Sharpe, and note values for PPO-002.""], ""success"": true}, ""repair_options"": []}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__numeric_table_exactness_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__numeric_table_exactness_001__0.json
atomic_card_extractor,openai:gpt-5.5,numeric_table_exactness_001,context,0,numeric_values_altered,"{""decision_any"": [""commit_success"", ""commit_with_warning""], ""must_include"": [""0.12"", ""0.45"", ""0.18"", ""0.51""], ""must_not_include"": [""average"", ""total"", ""0.5""]}","{""answer"": ""Extracted atomic memory cards for PPO-001 and PPO-002 with exact numeric reward and Sharpe values and notes."", ""citations"": [""| PPO-001 | 0.12 | 0.45 | baseline |"", ""| PPO-002 | 0.18 | 0.51 | entropy tuned |""], ""conflict_classification"": ""none"", ""decision"": ""commit_success"", ""entity_resolution"": {""action"": ""create_or_update"", ""entity_id"": null, ""reason"": ""The input explicitly provides run identifiers and associated metrics/notes, but no existing entity IDs are supplied.""}, ""intent"": ""extract_atomic_memory_cards"", ""memory_cards"": [{""confidence"": ""high"", ""entities"": [{""name"": ""PPO-001"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""0.12"", ""role"": ""reward"", ""type"": ""metric_value""}], ""kind"": ""run_metric"", ""relationships"": [{""object"": ""0.12"", ""predicate"": ""has_reward"", ""subject"": ""PPO-001""}], ""statement"": ""Run PPO-001 has reward 0.12.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-001"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""0.45"", ""role"": ""Sharpe"", ""type"": ""metric_value""}], ""kind"": ""run_metric"", ""relationships"": [{""object"": ""0.45"", ""predicate"": ""has_sharpe"", ""subject"": ""PPO-001""}], ""statement"": ""Run PPO-001 has Sharpe 0.45.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-001"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""baseline"", ""role"": ""note"", ""type"": ""note""}], ""kind"": ""run_note"", ""relationships"": [{""object"": ""baseline"", ""predicate"": ""has_note"", ""subject"": ""PPO-001""}], ""statement"": ""Run PPO-001 is noted as baseline.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-002"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""0.18"", ""role"": ""reward"", ""type"": ""metric_value""}], ""kind"": ""run_metric"", ""relationships"": [{""object"": ""0.18"", ""predicate"": ""has_reward"", ""subject"": ""PPO-002""}], ""statement"": ""Run PPO-002 has reward 0.18.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-002"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""0.51"", ""role"": ""Sharpe"", ""type"": ""metric_value""}], ""kind"": ""run_metric"", ""relationships"": [{""object"": ""0.51"", ""predicate"": ""has_sharpe"", ""subject"": ""PPO-002""}], ""statement"": ""Run PPO-002 has Sharpe 0.51.""}, {""confidence"": ""high"", ""entities"": [{""name"": ""PPO-002"", ""role"": ""subject"", ""type"": ""run""}, {""name"": ""entropy tuned"", ""role"": ""note"", ""type"": ""note""}], ""kind"": ""run_note"", ""relationships"": [{""object"": ""entropy tuned"", ""predicate"": ""has_note"", ""subject"": ""PPO-002""}], ""statement"": ""Run PPO-002 is noted as entropy tuned.""}], ""receipt"": {""details"": [""Committed 6 atomic memory cards from the table."", ""Preserved exact numeric values for reward and Sharpe.""], ""success"": true}, ""repair_options"": []}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__atomic_card_extractor__numeric_table_exactness_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__atomic_card_extractor__numeric_table_exactness_001__context__0.json
conflict_explainer,openai:gpt-5.5,conflict_employment_transition,base,0,silent_high_confidence_overwrite,"{""conflict_classification"": ""supersedes"", ""must_include"": [""left Goldman"", ""Point72""], ""must_not_include"": [""duplicate""], ""safe_action_space"": [""approve_supersession"", ""keep_both"", ""reject_new"", ""edit""]}","{""answer"": ""The new fact conflicts with the existing current fact because it says Sam left Goldman and joined Point72, while the current memory says Sam works at Goldman. Safe actions available: approve_supersession to treat the new fact as replacing the current Goldman employment fact; keep_both to retain both facts if you want to preserve ambiguity or historical context; reject_new to keep only the existing current fact and not commit the new one; edit to revise the new fact before saving."", ""citations"": [""Existing current fact: Sam works at Goldman."", ""New fact: Sam left Goldman and joined Point72.""], ""conflict_classification"": ""employment_transition_conflict"", ""decision"": ""needs_user_choice"", ""entity_resolution"": {""action"": ""same_entity_assumed"", ""entity_id"": null, ""reason"": ""Both facts refer to Sam and employment involving Goldman; no separate identity evidence was provided.""}, ""intent"": ""explain_conflict_safe_actions"", ""memory_cards"": [{""confidence"": ""backend-supplied current fact"", ""entities"": [{""name"": ""Sam"", ""role"": ""employee"", ""type"": ""person""}, {""name"": ""Goldman"", ""role"": ""employer"", ""type"": ""organization""}], ""kind"": ""existing_current_fact"", ""relationships"": [{""object"": ""Goldman"", ""predicate"": ""works_at"", ""subject"": ""Sam""}], ""statement"": ""Sam works at Goldman.""}, {""confidence"": ""user-provided new fact"", ""entities"": [{""name"": ""Sam"", ""role"": ""employee"", ""type"": ""person""}, {""name"": ""Goldman"", ""role"": ""former employer"", ""type"": ""organization""}, {""name"": ""Point72"", ""role"": ""employer"", ""type"": ""organization""}], ""kind"": ""new_fact"", ""relationships"": [{""object"": ""Goldman"", ""predicate"": ""left"", ""subject"": ""Sam""}, {""object"": ""Point72"", ""predicate"": ""joined"", ""subject"": ""Sam""}], ""statement"": ""Sam left Goldman and joined Point72.""}], ""receipt"": {""details"": [""Explained only the backend-supplied safe actions."", ""Did not automatically supersede or delete any fact."", ""Preserved the conflict for user decision.""], ""success"": true}, ""repair_options"": [""approve_supersession"", ""keep_both"", ""reject_new"", ""edit""]}",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__conflict_explainer__conflict_employment_transition__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__conflict_explainer__conflict_employment_transition__0.json
